COMPOSITE,DATE_MATURITY,DATE_SETTLEMENT,DOMAIN_ID,EFP_EXEC_SIDE,EFP_INSTITUTION_KEY,END_DATE,EXEC_ID,FP_SIDE,GENERATION,LEG_TYPE,PX_ALLIN,PX_BD_BASE,PX_BD_ECOM,PX_BD_TRADER,PX_BD_VENUE,PX_EFFECTIVE,PX_EFFECTIVE_EXP,PX_EXP,PX_FWDP_ALLIN,PX_FWDP_BD_BASE,PX_FWDP_BD_ECOM,PX_FWDP_BD_TRADER,PX_FWDP_BD_VENUE,PX_FWDP_EXP,PX_SPOT_ALLIN,PX_SPOT_BD_BASE,PX_SPOT_BD_ECOM,PX_SPOT_BD_TRADER,PX_SPOT_BD_VENUE,PX_SPOT_EXP,QTY_CNTR,QTY_CNTR_EXP,QTY_DEALT,QTY_DEALT_EXP,TENOR_TYPE,TENOR_VALUE
0,,1452470400000,0,T,1056,1452470400000,FF0A-0014-0000-1F,1,0,1,52799000,,,,,,,-6,0,,,,,-6,527990,,,,,-4,5279900000,-2,1,6,12,1
0,,1452470400000,0,T,1053,1452470400000,FF0A-0014-0000-04,0,0,0,112766000,,,,,,,-8,4000,,,,,-8,112762,,,,,-5,399545161,-2,3543135,0,1,0
0,,1452470400000,0,T,1167,1452470400000,FF0A-0014-0000-16,1,0,0,129200000,,,,,,,-6,40000,,,,,-6,129160,,,,,-3,12920000000,-2,1,6,1,0
0,,1452470400000,0,T,1052,1452470400000,FF0A-0014-0000-13,1,0,0,112664000,,,,,,,-8,4000,,,,,-8,112660,,,,,-5,112664000,-2,1,6,4,6
0,,1452470400000,0,T,942,1452470400000,FF0A-0012-0000-24,0,0,0,107420,,,,,,,-5,,,,,,,,,,,,,1074200000,-2,1,7,12,1
0,,1452470400000,0,T,943,1452470400000,FF64-0E72-0003-00,1,0,0,135979,,,,,,,-5,,,,,,,,,,,,,135979000,-2,1000000,0,12,1
0,,1452470400000,0,T,942,1452470400000,FF0A-0012-0000-61,0,0,1,129399000,,,,,,,-6,0,,,,,-6,129399,,,,,-3,12939900000,-2,1,6,12,1
0,,1452470400000,0,T,942,1452470400000,FF0A-0012-0000-61,1,0,2,129549000,,,,,,,-6,150000,,,,,-6,129399,,,,,-3,12954900000,-2,1,6,4,12
0,,1452470400000,0,T,943,1452470400000,FF0A-0012-0000-86,1,0,1,129121000,,,,,,,-6,0,,,,,-6,129121,,,,,-3,12912100000,-2,1,6,12,1
0,,1452470400000,0,T,943,1452470400000,FF0A-0012-0000-86,0,0,2,129071000,,,,,,,-6,-50000,,,,,-6,129121,,,,,-3,12907100000,-2,1,6,3,1
0,,1452470400000,0,T,1133,1452470400000,FF0A-0014-0000-0A,1,0,0,119970000,,,,,,,-6,0,,,,,-6,119970,,,,,-3,11997000000,-2,1,6,3,2
0,,1452470400000,0,T,948,1452470400000,FF0A-0014-0000-1B,0,0,0,119913000,,,,,,,-6,0,,,,,-6,119913,,,,,-3,299782500000,-2,25,6,4,12
0,,1452470400000,0,T,948,1452470400000,FF64-0E70-0001-00,0,0,0,99010,,,,,,,-5,,,,,,,,,,,,,99010000,-2,1000000,0,12,1
0,,1452470400000,0,T,948,1452470400000,FF0A-0014-0000-0B,0,0,1,619294000,,,,,,,-8,0,,,,,-8,619294,,,,,-5,16147419,-2,1,6,12,1
0,,1452470400000,0,T,948,1452470400000,FF0A-0014-0000-0B,1,0,2,639394000,,,,,,,-8,20100000,,,,,-8,619294,,,,,-5,15639809,-2,1,6,4,2
0,,1452470400000,0,T,1075,1452470400000,FF64-0E70-0006-00,1,0,0,180129,,,,,,,-3,,,,,,,,,,,,,180129000,0,1000000,0,12,1
0,,1452470400000,0,T,1098,1452470400000,FF64-0E70-0004-00,1,0,0,527502,,,,,,,-4,,,,,,,,,,,,,5275020000,-2,1000000,0,12,1
0,,1452470400000,0,T,949,1452470400000,FF64-0E70-0002-00,1,0,0,99008,,,,,,,-5,,,,,,,,,,,,,99008000,-2,1000000,0,12,1
0,,1452470400000,0,T,946,1452470400000,FF64-0E6D-000A-00,0,0,0,102440,,,,,,,-5,,,,,,,,,,,,,102440000,-2,1000000,0,12,1
0,,1452470400000,0,T,949,1452470400000,FF0A-0014-0000-0C,1,0,1,619292000,,,,,,,-8,0,,,,,-8,619292,,,,,-5,16147472,-2,1,6,12,1
0,,1452470400000,0,T,949,1452470400000,FF0A-0014-0000-0C,0,0,2,639242000,,,,,,,-8,19950000,,,,,-8,619292,,,,,-5,15643528,-2,1,6,4,2
0,,1452470400000,0,T,944,1452470400000,FF0A-0012-0000-2D,0,0,0,139011,,,,,,,-5,,,,,,,,,,,,,139,-2,1,0,12,1
0,,1452470400000,0,T,947,1452470400000,FF64-0E70-002E-04,1,0,0,96452,,,,,,,-5,,,,,,,,,,,,,482260000,-2,5000000,0,12,1
0,,1452470400000,0,T,1166,1452470400000,FF0A-0014-0000-1A,0,0,0,129220000,,,,,,,-6,0,,,,,-6,129220,,,,,-3,12922000000,-2,1,6,7,1
