<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USD000000TOD,1,20160111,104700,76.1190000,76.1190000,76.1010000,76.1170000,1169000
USD000000TOD,1,20160111,104800,76.1150000,76.1220000,76.0500000,76.0680000,14211000
USD000000TOD,1,20160111,104900,76.0560000,76.1220000,76.0000000,76.1070000,29466000
USD000000TOD,1,20160111,105000,76.1040000,76.1450000,76.0700000,76.0770000,9072000
USD000000TOD,1,20160111,105100,76.0640000,76.0670000,76.0020000,76.0130000,6908000
USD000000TOD,1,20160111,105200,76.0190000,76.0350000,76.0010000,76.0300000,1280000
USD000000TOD,1,20160111,105300,76.0300000,76.0320000,76.0010000,76.0130000,2521000
USD000000TOD,1,20160111,105400,76.0010000,76.0450000,76.0010000,76.0220000,4390000
USD000000TOD,1,20160111,105500,76.0300000,76.0360000,76.0090000,76.0130000,1083000
USD000000TOD,1,20160111,105600,76.0300000,76.0370000,75.9730000,76.0040000,4322000
USD000000TOD,1,20160111,105700,75.9840000,76.0000000,75.9700000,75.9700000,6454000
USD000000TOD,1,20160111,105800,75.9700000,75.9820000,75.9270000,75.9700000,13933000
USD000000TOD,1,20160111,105900,75.9710000,75.9870000,75.9520000,75.9700000,3230000
USD000000TOD,1,20160111,110000,75.9580000,75.9650000,75.9160000,75.9300000,8185000
USD000000TOD,1,20160111,110100,75.9370000,75.9500000,75.9000000,75.9080000,10295000
USD000000TOD,1,20160111,110200,75.9200000,75.9250000,75.9000000,75.9080000,2831000
USD000000TOD,1,20160111,110300,75.9080000,75.9080000,75.8050000,75.8060000,11750000
USD000000TOD,1,20160111,110400,75.8120000,75.8520000,75.8100000,75.8360000,2292000
USD000000TOD,1,20160111,110500,75.8350000,75.8690000,75.8350000,75.8500000,2656000
USD000000TOD,1,20160111,110600,75.8560000,75.8580000,75.7030000,75.7480000,5293000
USD000000TOD,1,20160111,110700,75.7350000,75.7390000,75.6590000,75.6700000,7601000
USD000000TOD,1,20160111,110800,75.6650000,75.7140000,75.6650000,75.6860000,3206000
USD000000TOD,1,20160111,110900,75.6810000,75.6980000,75.6010000,75.6230000,5842000
USD000000TOD,1,20160111,111000,75.6380000,75.6410000,75.5860000,75.6000000,4310000
USD000000TOD,1,20160111,111100,75.6060000,75.6060000,75.5100000,75.5100000,2488000
USD000000TOD,1,20160111,111200,75.5100000,75.5610000,75.5020000,75.5270000,3983000
USD000000TOD,1,20160111,111300,75.5270000,75.5510000,75.4830000,75.4830000,6695000
USD000000TOD,1,20160111,111400,75.4810000,75.4810000,75.3840000,75.4510000,7980000
USD000000TOD,1,20160111,111500,75.4340000,75.4560000,75.4200000,75.4350000,2938000
USD000000TOD,1,20160111,111600,75.4400000,75.4850000,75.4190000,75.4370000,3238000
USD000000TOD,1,20160111,111700,75.4430000,75.4760000,75.4230000,75.4670000,7766000
USD000000TOD,1,20160111,111800,75.4690000,75.4960000,75.4500000,75.4950000,3135000
USD000000TOD,1,20160111,111900,75.4860000,75.5740000,75.4800000,75.5740000,8182000
USD000000TOD,1,20160111,112000,75.5800000,75.6860000,75.5630000,75.6680000,2460000
USD000000TOD,1,20160111,112100,75.6600000,75.6670000,75.5900000,75.5900000,2694000
USD000000TOD,1,20160111,112200,75.5990000,75.5990000,75.5700000,75.5800000,1476000
USD000000TOD,1,20160111,112300,75.5700000,75.5800000,75.5360000,75.5800000,3670000
USD000000TOD,1,20160111,112400,75.5800000,75.6350000,75.5800000,75.6310000,2979000
USD000000TOD,1,20160111,112500,75.6200000,75.6270000,75.6000000,75.6150000,410000
USD000000TOD,1,20160111,112600,75.6070000,75.6260000,75.5950000,75.6060000,1576000
