id,date,CORE,CSV_COMMON,CSV_MYT,JSON_SAPPHIRE
39,TICKET_ID_WAITING_4KOGAN,0.996,0.16,0.173,0.221
40,TICKET_ID_WAITING_4KOGAN,0.995,0.169,0.178,0.222
41,TICKET_ID_WAITING_4KOGAN,0.995,0.17,0.183,0.225
42,TICKET_ID_WAITING_4KOGAN,0.994,0.171,0.188,0.23
43,TICKET_ID_WAITING_4KOGAN,0.994,0.174,0.194,0.233
44,TICKET_ID_WAITING_4KOGAN,0.993,0.181,0.183,0.233
45,TICKET_ID_WAITING_4KOGAN,0.992,0.184,0.185,0.234
46,TICKET_ID_WAITING_4KOGAN,0.992,0.183,0.189,0.236
47,TICKET_ID_WAITING_4KOGAN,0.992,0.184,0.192,0.25
48,TICKET_ID_WAITING_4KOGAN,0.991,0.185,0.195,0.251
49,TICKET_ID_WAITING_4KOGAN,0.991,0.186,0.21,0.253
50,TICKET_ID_WAITING_4KOGAN,0.99,0.187,0.217,0.253
51,TICKET_ID_WAITING_4KOGAN,0.99,0.188,0.222,0.254
52,TICKET_ID_WAITING_4KOGAN,0.99,0.191,0.225,0.256
53,TICKET_ID_WAITING_4KOGAN,0.989,0.193,0.231,0.26
54,TICKET_ID_WAITING_4KOGAN,0.989,0.182,0.234,0.263
55,TICKET_ID_WAITING_4KOGAN,0.988,0.182,0.238,0.261
56,TICKET_ID_WAITING_4KOGAN,0.988,0.184,0.241,0.267
57,TICKET_ID_WAITING_4KOGAN,0.987,0.186,0.245,0.268
58,TICKET_ID_WAITING_4KOGAN,0.987,0.187,0.247,0.27
59,TICKET_ID_WAITING_4KOGAN,0.986,0.192,0.252,0.271
60,TICKET_ID_WAITING_4KOGAN,0.986,0.193,0.255,0.273
61,TICKET_ID_WAITING_4KOGAN,0.985,0.195,0.261,0.274
62,TICKET_ID_WAITING_4KOGAN,0.985,0.193,0.264,0.275
63,TICKET_ID_WAITING_4KOGAN,0.985,0.193,0.268,0.277
64,TICKET_ID_WAITING_4KOGAN,0.984,0.194,0.27,0.279
65,TICKET_ID_WAITING_4KOGAN,0.983,0.197,0.273,0.268
66,TICKET_ID_WAITING_4KOGAN,0.983,0.201,0.277,0.269
67,TICKET_ID_WAITING_4KOGAN,0.982,0.201,0.271,0.27
68,TICKET_ID_WAITING_4KOGAN,0.982,0.201,0.275,0.271
69,TICKET_ID_WAITING_4KOGAN,0.982,0.195,0.278,0.272
70,TICKET_ID_WAITING_4KOGAN,0.981,0.209,0.277,0.276
71,TICKET_ID_WAITING_4KOGAN,0.981,0.21,0.279,0.277
72,TICKET_ID_WAITING_4KOGAN,0.98,0.213,0.283,0.28
73,TICKET_ID_WAITING_4KOGAN,0.98,0.214,0.287,0.281
74,TICKET_ID_WAITING_4KOGAN,0.98,0.227,0.29,0.278
75,TICKET_ID_WAITING_4KOGAN,0.979,0.228,0.298,0.281
76,TICKET_ID_WAITING_4KOGAN,0.979,0.226,0.301,0.282
77,TICKET_ID_WAITING_4KOGAN,0.978,0.226,0.309,0.286
78,TICKET_ID_WAITING_4KOGAN,0.978,0.227,0.313,0.288
79,TICKET_ID_WAITING_4KOGAN,0.978,0.229,0.333,0.289
80,TICKET_ID_WAITING_4KOGAN,0.977,0.23,0.337,0.29
81,TICKET_ID_WAITING_4KOGAN,0.977,0.231,0.341,0.29
82,TICKET_ID_WAITING_4KOGAN,0.977,0.234,0.347,0.295
83,TICKET_ID_WAITING_4KOGAN,0.976,0.235,0.341,0.289
84,TICKET_ID_WAITING_4KOGAN,0.976,0.235,0.343,0.292
85,TICKET_ID_WAITING_4KOGAN,0.975,0.236,0.345,0.296
86,TICKET_ID_WAITING_4KOGAN,0.975,0.237,0.35,0.309
87,TICKET_ID_WAITING_4KOGAN,0.974,0.237,0.353,0.322
88,TICKET_ID_WAITING_4KOGAN,0.974,0.238,0.356,0.324
89,TICKET_ID_WAITING_4KOGAN,0.974,0.237,0.364,0.328
90,TICKET_ID_WAITING_4KOGAN,0.973,0.239,0.367,0.33
91,TICKET_ID_WAITING_4KOGAN,0.973,0.239,0.37,0.329
92,TICKET_ID_WAITING_4KOGAN,0.973,0.24,0.374,0.33
93,TICKET_ID_WAITING_4KOGAN,0.972,0.241,0.377,0.332
94,TICKET_ID_WAITING_4KOGAN,0.972,0.245,0.381,0.335
95,TICKET_ID_WAITING_4KOGAN,0.971,0.247,0.385,0.339
96,TICKET_ID_WAITING_4KOGAN,0.971,0.248,0.388,0.342
97,TICKET_ID_WAITING_4KOGAN,0.971,0.25,0.393,0.344
98,TICKET_ID_WAITING_4KOGAN,0.97,0.252,0.399,0.346
99,TICKET_ID_WAITING_4KOGAN,0.97,0.254,0.385,0.348
100,TICKET_ID_WAITING_4KOGAN,0.97,0.254,0.388,0.348
101,TICKET_ID_WAITING_4KOGAN,0.969,0.261,0.391,0.365
102,TICKET_ID_WAITING_4KOGAN,0.969,0.262,0.393,0.367
103,TICKET_ID_WAITING_4KOGAN,0.969,0.264,0.402,0.369
104,TICKET_ID_WAITING_4KOGAN,0.968,0.265,0.406,0.369
105,TICKET_ID_WAITING_4KOGAN,0.967,0.265,0.41,0.371
106,TICKET_ID_WAITING_4KOGAN,0.967,0.265,0.42,0.373
107,TICKET_ID_WAITING_4KOGAN,0.967,0.271,0.421,0.374
108,TICKET_ID_WAITING_4KOGAN,0.967,0.259,0.427,0.38
109,TICKET_ID_WAITING_4KOGAN,0.966,0.26,0.42,0.38
110,TICKET_ID_WAITING_4KOGAN,0.966,0.261,0.424,0.394
111,TICKET_ID_WAITING_4KOGAN,0.966,0.272,0.431,0.396
112,TICKET_ID_WAITING_4KOGAN,0.965,0.273,0.437,0.398
113,TICKET_ID_WAITING_4KOGAN,0.966,0.273,0.44,0.399
114,TICKET_ID_WAITING_4KOGAN,0.965,0.287,0.444,0.401
115,TICKET_ID_WAITING_4KOGAN,0.965,0.289,0.448,0.402
116,TICKET_ID_WAITING_4KOGAN,0.965,0.292,0.452,0.403
117,TICKET_ID_WAITING_4KOGAN,0.964,0.292,0.449,0.404
118,TICKET_ID_WAITING_4KOGAN,0.964,0.293,0.433,0.409
119,TICKET_ID_WAITING_4KOGAN,0.964,0.295,0.429,0.412
120,TICKET_ID_WAITING_4KOGAN,0.963,0.297,0.43,0.412
121,TICKET_ID_WAITING_4KOGAN,0.963,0.297,0.43,0.414
122,TICKET_ID_WAITING_4KOGAN,0.963,0.298,0.415,0.415
123,TICKET_ID_WAITING_4KOGAN,0.962,0.299,0.424,0.416
124,TICKET_ID_WAITING_4KOGAN,0.962,0.301,0.426,0.417
125,TICKET_ID_WAITING_4KOGAN,0.961,0.301,0.432,0.419
126,TICKET_ID_WAITING_4KOGAN,0.961,0.303,0.439,0.419
127,TICKET_ID_WAITING_4KOGAN,0.961,0.307,0.442,0.42
128,TICKET_ID_WAITING_4KOGAN,0.96,0.322,0.445,0.42
129,TICKET_ID_WAITING_4KOGAN,0.96,0.324,0.44,0.409
130,TICKET_ID_WAITING_4KOGAN,0.959,0.325,0.443,0.41
131,TICKET_ID_WAITING_4KOGAN,0.959,0.326,0.445,0.414
132,TICKET_ID_WAITING_4KOGAN,0.959,0.327,0.445,0.417
133,TICKET_ID_WAITING_4KOGAN,0.958,0.328,0.44,0.417
134,TICKET_ID_WAITING_4KOGAN,0.958,0.325,0.433,0.419
135,TICKET_ID_WAITING_4KOGAN,0.958,0.328,0.432,0.419
136,TICKET_ID_WAITING_4KOGAN,0.958,0.329,0.43,0.421
137,TICKET_ID_WAITING_4KOGAN,0.957,0.329,0.431,0.427
138,TICKET_ID_WAITING_4KOGAN,0.957,0.33,0.43,0.429
139,TICKET_ID_WAITING_4KOGAN,0.957,0.335,0.435,0.431
140,TICKET_ID_WAITING_4KOGAN,0.957,0.337,0.437,0.431
141,TICKET_ID_WAITING_4KOGAN,0.956,0.338,0.438,0.433
142,TICKET_ID_WAITING_4KOGAN,0.956,0.339,0.443,0.434
143,TICKET_ID_WAITING_4KOGAN,0.955,0.348,0.444,0.436
144,TICKET_ID_WAITING_4KOGAN,0.955,0.349,0.447,0.446
145,TICKET_ID_WAITING_4KOGAN,0.955,0.35,0.449,0.455
146,TICKET_ID_WAITING_4KOGAN,0.955,0.352,0.46,0.456
147,TICKET_ID_WAITING_4KOGAN,0.954,0.353,0.462,0.458
148,TICKET_ID_WAITING_4KOGAN,0.954,0.353,0.466,0.462
149,TICKET_ID_WAITING_4KOGAN,0.954,0.355,0.469,0.466
150,TICKET_ID_WAITING_4KOGAN,0.953,0.356,0.464,0.469
151,TICKET_ID_WAITING_4KOGAN,0.953,0.357,0.465,0.471
152,TICKET_ID_WAITING_4KOGAN,0.953,0.357,0.468,0.472
153,TICKET_ID_WAITING_4KOGAN,0.952,0.358,0.472,0.474
154,TICKET_ID_WAITING_4KOGAN,0.952,0.36,0.474,0.481
155,TICKET_ID_WAITING_4KOGAN,0.952,0.361,0.473,0.483
156,TICKET_ID_WAITING_4KOGAN,0.951,0.362,0.477,0.492
157,TICKET_ID_WAITING_4KOGAN,0.951,0.363,0.48,0.494
158,TICKET_ID_WAITING_4KOGAN,0.951,0.364,0.482,0.495
159,TICKET_ID_WAITING_4KOGAN,0.951,0.365,0.484,0.497
160,TICKET_ID_WAITING_4KOGAN,0.95,0.366,0.487,0.499
161,TICKET_ID_WAITING_4KOGAN,0.95,0.346,0.491,0.497
162,TICKET_ID_WAITING_4KOGAN,0.949,0.35,0.496,0.5
163,TICKET_ID_WAITING_4KOGAN,0.949,0.352,0.498,0.503
164,TICKET_ID_WAITING_4KOGAN,0.949,0.353,0.501,0.507
165,TICKET_ID_WAITING_4KOGAN,0.949,0.355,0.505,0.508
166,TICKET_ID_WAITING_4KOGAN,0.948,0.356,0.507,0.515
167,TICKET_ID_WAITING_4KOGAN,0.948,0.356,0.51,0.517
168,TICKET_ID_WAITING_4KOGAN,0.948,0.357,0.511,0.52
169,TICKET_ID_WAITING_4KOGAN,0.948,0.359,0.512,0.525
170,TICKET_ID_WAITING_4KOGAN,0.948,0.36,0.517,0.527
171,TICKET_ID_WAITING_4KOGAN,0.947,0.362,0.517,0.529
172,TICKET_ID_WAITING_4KOGAN,0.947,0.362,0.517,0.535
173,TICKET_ID_WAITING_4KOGAN,0.946,0.363,0.522,0.538
174,TICKET_ID_WAITING_4KOGAN,0.946,0.364,0.523,0.54
175,TICKET_ID_WAITING_4KOGAN,0.946,0.366,0.527,0.541
176,TICKET_ID_WAITING_4KOGAN,0.945,0.366,0.529,0.542
177,TICKET_ID_WAITING_4KOGAN,0.945,0.367,0.533,0.542
178,TICKET_ID_WAITING_4KOGAN,0.945,0.37,0.536,0.544
179,TICKET_ID_WAITING_4KOGAN,0.945,0.373,0.535,0.546
180,TICKET_ID_WAITING_4KOGAN,0.944,0.374,0.537,0.548
181,TICKET_ID_WAITING_4KOGAN,0.944,0.375,0.539,0.549
182,TICKET_ID_WAITING_4KOGAN,0.943,0.378,0.541,0.55
183,TICKET_ID_WAITING_4KOGAN,0.943,0.379,0.546,0.551
184,TICKET_ID_WAITING_4KOGAN,0.943,0.38,0.55,0.552
185,TICKET_ID_WAITING_4KOGAN,0.943,0.381,0.552,0.554
186,TICKET_ID_WAITING_4KOGAN,0.943,0.382,0.556,0.557
187,TICKET_ID_WAITING_4KOGAN,0.943,0.385,0.561,0.557
188,TICKET_ID_WAITING_4KOGAN,0.943,0.386,0.564,0.558
189,TICKET_ID_WAITING_4KOGAN,0.942,0.387,0.566,0.559
190,TICKET_ID_WAITING_4KOGAN,0.942,0.388,0.57,0.561
191,TICKET_ID_WAITING_4KOGAN,0.942,0.396,0.573,0.563
192,TICKET_ID_WAITING_4KOGAN,0.942,0.401,0.574,0.565
193,TICKET_ID_WAITING_4KOGAN,0.942,0.402,0.577,0.546
194,TICKET_ID_WAITING_4KOGAN,0.941,0.409,0.577,0.547
195,TICKET_ID_WAITING_4KOGAN,0.941,0.412,0.579,0.549
196,TICKET_ID_WAITING_4KOGAN,0.941,0.413,0.583,0.55
197,TICKET_ID_WAITING_4KOGAN,0.941,0.414,0.587,0.552
198,TICKET_ID_WAITING_4KOGAN,0.94,0.415,0.587,0.555
199,TICKET_ID_WAITING_4KOGAN,0.94,0.416,0.59,0.557
200,TICKET_ID_WAITING_4KOGAN,0.94,0.417,0.594,0.56
201,TICKET_ID_WAITING_4KOGAN,0.939,0.418,0.595,0.561
202,TICKET_ID_WAITING_4KOGAN,0.939,0.419,0.592,0.563
203,TICKET_ID_WAITING_4KOGAN,0.939,0.42,0.594,0.565
204,TICKET_ID_WAITING_4KOGAN,0.938,0.421,0.603,0.567
205,TICKET_ID_WAITING_4KOGAN,0.938,0.424,0.606,0.568
206,TICKET_ID_WAITING_4KOGAN,0.938,0.424,0.61,0.571
207,TICKET_ID_WAITING_4KOGAN,0.938,0.425,0.612,0.572
208,TICKET_ID_WAITING_4KOGAN,0.938,0.428,0.616,0.575
209,TICKET_ID_WAITING_4KOGAN,0.937,0.428,0.616,0.576
210,TICKET_ID_WAITING_4KOGAN,0.937,0.429,0.618,0.578
211,TICKET_ID_WAITING_4KOGAN,0.937,0.43,0.617,0.578
212,TICKET_ID_WAITING_4KOGAN,0.937,0.43,0.621,0.58
213,TICKET_ID_WAITING_4KOGAN,0.936,0.432,0.622,0.581
214,TICKET_ID_WAITING_4KOGAN,0.936,0.419,0.626,0.581
215,TICKET_ID_WAITING_4KOGAN,0.936,0.419,0.623,0.583
216,TICKET_ID_WAITING_4KOGAN,0.935,0.42,0.627,0.585
217,TICKET_ID_WAITING_4KOGAN,0.935,0.421,0.63,0.586
218,TICKET_ID_WAITING_4KOGAN,0.935,0.422,0.633,0.587
219,TICKET_ID_WAITING_4KOGAN,0.935,0.423,0.636,0.59
220,TICKET_ID_WAITING_4KOGAN,0.934,0.425,0.641,0.592
221,TICKET_ID_WAITING_4KOGAN,0.934,0.427,0.645,0.594
222,TICKET_ID_WAITING_4KOGAN,0.933,0.427,0.649,0.596
223,TICKET_ID_WAITING_4KOGAN,0.933,0.429,0.652,0.597
224,TICKET_ID_WAITING_4KOGAN,0.933,0.431,0.655,0.598
225,TICKET_ID_WAITING_4KOGAN,0.933,0.432,0.658,0.6
226,TICKET_ID_WAITING_4KOGAN,0.933,0.433,0.661,0.601
227,TICKET_ID_WAITING_4KOGAN,0.932,0.433,0.664,0.603
228,TICKET_ID_WAITING_4KOGAN,0.932,0.437,0.667,0.605
229,TICKET_ID_WAITING_4KOGAN,0.932,0.437,0.669,0.606
230,TICKET_ID_WAITING_4KOGAN,0.932,0.438,0.672,0.607
231,TICKET_ID_WAITING_4KOGAN,0.88,0.439,0.673,0.608
232,TICKET_ID_WAITING_4KOGAN,0.879,0.44,0.67,0.61
233,TICKET_ID_WAITING_4KOGAN,0.879,0.442,0.672,0.616
234,TICKET_ID_WAITING_4KOGAN,0.879,0.443,0.676,0.617
235,TICKET_ID_WAITING_4KOGAN,0.878,0.443,0.679,0.619
236,TICKET_ID_WAITING_4KOGAN,0.878,0.444,0.681,0.62
237,TICKET_ID_WAITING_4KOGAN,0.878,0.446,0.682,0.621
238,TICKET_ID_WAITING_4KOGAN,0.878,0.448,0.685,0.622
239,TICKET_ID_WAITING_4KOGAN,0.878,0.449,0.688,0.624
240,TICKET_ID_WAITING_4KOGAN,0.877,0.449,0.688,0.625
241,TICKET_ID_WAITING_4KOGAN,0.877,0.45,0.688,0.627
242,TICKET_ID_WAITING_4KOGAN,0.877,0.45,0.693,0.629
243,TICKET_ID_WAITING_4KOGAN,0.877,0.452,0.695,0.629
244,TICKET_ID_WAITING_4KOGAN,0.876,0.452,0.699,0.631
245,TICKET_ID_WAITING_4KOGAN,0.876,0.453,0.702,0.632
246,TICKET_ID_WAITING_4KOGAN,0.876,0.454,0.698,0.634
247,TICKET_ID_WAITING_4KOGAN,0.876,0.456,0.703,0.635
248,TICKET_ID_WAITING_4KOGAN,0.875,0.458,0.706,0.638
249,TICKET_ID_WAITING_4KOGAN,0.875,0.459,0.709,0.639
250,TICKET_ID_WAITING_4KOGAN,0.875,0.46,0.706,0.641
251,TICKET_ID_WAITING_4KOGAN,0.875,0.462,0.709,0.641
252,TICKET_ID_WAITING_4KOGAN,0.874,0.464,0.712,0.642
253,TICKET_ID_WAITING_4KOGAN,0.874,0.467,0.715,0.643
254,TICKET_ID_WAITING_4KOGAN,0.874,0.469,0.716,0.643
255,TICKET_ID_WAITING_4KOGAN,0.873,0.473,0.718,0.646
256,TICKET_ID_WAITING_4KOGAN,0.874,0.476,0.722,0.648
257,TICKET_ID_WAITING_4KOGAN,0.874,0.478,0.723,0.637
258,TICKET_ID_WAITING_4KOGAN,0.873,0.479,0.725,0.636
259,TICKET_ID_WAITING_4KOGAN,0.873,0.48,0.729,0.637
260,TICKET_ID_WAITING_4KOGAN,0.873,0.483,0.733,0.639
261,TICKET_ID_WAITING_4KOGAN,0.872,0.484,0.738,0.644
262,TICKET_ID_WAITING_4KOGAN,0.872,0.489,0.742,0.647
263,TICKET_ID_WAITING_4KOGAN,0.871,0.492,0.746,0.648
264,TICKET_ID_WAITING_4KOGAN,0.871,0.495,0.751,0.65
265,TICKET_ID_WAITING_4KOGAN,0.871,0.496,0.754,0.651
266,TICKET_ID_WAITING_4KOGAN,0.871,0.498,0.758,0.65
267,TICKET_ID_WAITING_4KOGAN,0.871,0.499,0.762,0.653
268,TICKET_ID_WAITING_4KOGAN,0.87,0.501,0.764,0.656
269,TICKET_ID_WAITING_4KOGAN,0.87,0.502,0.77,0.657
270,TICKET_ID_WAITING_4KOGAN,0.87,0.504,0.77,0.659
271,TICKET_ID_WAITING_4KOGAN,0.869,0.505,0.774,0.661
272,TICKET_ID_WAITING_4KOGAN,0.869,0.509,0.777,0.664
273,TICKET_ID_WAITING_4KOGAN,0.869,0.512,0.777,0.666
274,TICKET_ID_WAITING_4KOGAN,0.869,0.514,0.781,0.669
275,TICKET_ID_WAITING_4KOGAN,0.869,0.515,0.784,0.673
276,TICKET_ID_WAITING_4KOGAN,0.868,0.516,0.786,0.675
277,TICKET_ID_WAITING_4KOGAN,0.868,0.517,0.79,0.676
278,TICKET_ID_WAITING_4KOGAN,0.868,0.518,0.793,0.677
279,TICKET_ID_WAITING_4KOGAN,0.868,0.52,0.806,0.679
280,TICKET_ID_WAITING_4KOGAN,0.868,0.52,0.803,0.681
281,TICKET_ID_WAITING_4KOGAN,0.867,0.521,0.807,0.684
282,TICKET_ID_WAITING_4KOGAN,0.867,0.523,0.81,0.685
283,TICKET_ID_WAITING_4KOGAN,0.866,0.524,0.814,0.686
284,TICKET_ID_WAITING_4KOGAN,0.866,0.524,0.824,0.688
285,TICKET_ID_WAITING_4KOGAN,0.866,0.526,0.818,0.689
286,TICKET_ID_WAITING_4KOGAN,0.866,0.527,0.821,0.692
287,TICKET_ID_WAITING_4KOGAN,0.866,0.529,0.824,0.693
288,TICKET_ID_WAITING_4KOGAN,0.865,0.533,0.827,0.694
289,TICKET_ID_WAITING_4KOGAN,0.865,0.534,0.831,0.695
290,TICKET_ID_WAITING_4KOGAN,0.865,0.534,0.834,0.696
291,TICKET_ID_WAITING_4KOGAN,0.865,0.535,0.838,0.697
292,TICKET_ID_WAITING_4KOGAN,0.864,0.536,0.841,0.699
293,TICKET_ID_WAITING_4KOGAN,0.864,0.545,0.845,0.7
294,TICKET_ID_WAITING_4KOGAN,0.864,0.55,0.848,0.701
295,TICKET_ID_WAITING_4KOGAN,0.864,0.554,0.853,0.702
296,TICKET_ID_WAITING_4KOGAN,0.864,0.559,0.857,0.703
297,TICKET_ID_WAITING_4KOGAN,0.863,0.56,0.861,0.705
298,TICKET_ID_WAITING_4KOGAN,0.863,0.562,0.863,0.707
299,TICKET_ID_WAITING_4KOGAN,0.863,0.565,0.866,0.707
300,TICKET_ID_WAITING_4KOGAN,0.863,0.565,0.87,0.708
301,TICKET_ID_WAITING_4KOGAN,0.862,0.566,0.873,0.709
302,TICKET_ID_WAITING_4KOGAN,0.862,0.568,0.875,0.71
303,TICKET_ID_WAITING_4KOGAN,0.862,0.573,0.879,0.713
304,TICKET_ID_WAITING_4KOGAN,0.861,0.574,0.882,0.713
305,TICKET_ID_WAITING_4KOGAN,0.861,0.574,0.886,0.715
306,TICKET_ID_WAITING_4KOGAN,0.861,0.575,0.893,0.716
307,TICKET_ID_WAITING_4KOGAN,0.861,0.576,0.902,0.717
308,TICKET_ID_WAITING_4KOGAN,0.861,0.577,0.906,0.718
309,TICKET_ID_WAITING_4KOGAN,0.86,0.578,0.907,0.72
310,TICKET_ID_WAITING_4KOGAN,0.86,0.579,0.906,0.72
311,TICKET_ID_WAITING_4KOGAN,0.86,0.579,0.908,0.722
312,TICKET_ID_WAITING_4KOGAN,0.859,0.58,0.912,0.723
313,TICKET_ID_WAITING_4KOGAN,0.859,0.582,0.916,0.725
314,TICKET_ID_WAITING_4KOGAN,0.859,0.583,0.918,0.726
315,TICKET_ID_WAITING_4KOGAN,0.859,0.584,0.922,0.727
316,TICKET_ID_WAITING_4KOGAN,0.859,0.584,0.925,0.729
317,TICKET_ID_WAITING_4KOGAN,0.858,0.585,0.929,0.73
318,TICKET_ID_WAITING_4KOGAN,0.858,0.587,0.931,0.731
319,TICKET_ID_WAITING_4KOGAN,0.858,0.59,0.933,0.736
320,TICKET_ID_WAITING_4KOGAN,0.857,0.59,0.935,0.739
321,TICKET_ID_WAITING_4KOGAN,0.857,0.593,0.937,0.74
322,TICKET_ID_WAITING_4KOGAN,0.857,0.594,0.941,0.742
323,TICKET_ID_WAITING_4KOGAN,0.857,0.596,0.943,0.745
324,TICKET_ID_WAITING_4KOGAN,0.856,0.598,0.946,0.746
325,TICKET_ID_WAITING_4KOGAN,0.856,0.599,0.949,0.749
326,TICKET_ID_WAITING_4KOGAN,0.856,0.6,0.953,0.749
327,TICKET_ID_WAITING_4KOGAN,0.856,0.601,0.956,0.751
328,TICKET_ID_WAITING_4KOGAN,0.856,0.603,0.958,0.752
329,TICKET_ID_WAITING_4KOGAN,0.855,0.604,0.96,0.754
330,TICKET_ID_WAITING_4KOGAN,0.855,0.605,0.958,0.755
331,TICKET_ID_WAITING_4KOGAN,0.855,0.606,0.964,0.756
332,TICKET_ID_WAITING_4KOGAN,0.855,0.598,0.976,0.761
333,TICKET_ID_WAITING_4KOGAN,0.854,0.606,0.979,0.762
334,TICKET_ID_WAITING_4KOGAN,0.854,0.608,0.983,0.764
335,TICKET_ID_WAITING_4KOGAN,0.855,0.613,0.986,0.766
336,TICKET_ID_WAITING_4KOGAN,0.855,0.615,0.99,0.766
337,TICKET_ID_WAITING_4KOGAN,0.855,0.616,0.991,0.767
338,TICKET_ID_WAITING_4KOGAN,0.854,0.618,0.992,0.768
339,TICKET_ID_WAITING_4KOGAN,0.854,0.619,0.991,0.77
340,TICKET_ID_WAITING_4KOGAN,0.854,0.62,0.993,0.771
341,TICKET_ID_WAITING_4KOGAN,0.853,0.62,0.998,0.774
342,TICKET_ID_WAITING_4KOGAN,0.853,0.621,1.001,0.775
343,TICKET_ID_WAITING_4KOGAN,0.853,0.622,1.003,0.778
344,TICKET_ID_WAITING_4KOGAN,0.852,0.624,1.006,0.778
345,TICKET_ID_WAITING_4KOGAN,0.852,0.625,1.01,0.78
346,TICKET_ID_WAITING_4KOGAN,0.852,0.62,1.011,0.782
347,TICKET_ID_WAITING_4KOGAN,0.852,0.621,1.006,0.785
348,TICKET_ID_WAITING_4KOGAN,0.851,0.622,1.009,0.785
349,TICKET_ID_WAITING_4KOGAN,0.851,0.623,1.013,0.787
350,TICKET_ID_WAITING_4KOGAN,0.851,0.626,1.017,0.788
351,TICKET_ID_WAITING_4KOGAN,0.851,0.627,1.02,0.797
352,TICKET_ID_WAITING_4KOGAN,0.851,0.627,1.023,0.8
353,TICKET_ID_WAITING_4KOGAN,0.85,0.63,1.026,0.802
354,TICKET_ID_WAITING_4KOGAN,0.85,0.632,1.028,0.802
355,TICKET_ID_WAITING_4KOGAN,0.85,0.633,1.031,0.803
356,TICKET_ID_WAITING_4KOGAN,0.85,0.633,1.036,0.804
357,TICKET_ID_WAITING_4KOGAN,0.849,0.633,1.038,0.806
358,TICKET_ID_WAITING_4KOGAN,0.849,0.635,1.039,0.808
359,TICKET_ID_WAITING_4KOGAN,0.849,0.636,1.04,0.809
360,TICKET_ID_WAITING_4KOGAN,0.848,0.638,1.038,0.809
361,TICKET_ID_WAITING_4KOGAN,0.848,0.638,1.035,0.81
362,TICKET_ID_WAITING_4KOGAN,0.848,0.639,1.035,0.812
363,TICKET_ID_WAITING_4KOGAN,0.848,0.64,1.025,0.813
364,TICKET_ID_WAITING_4KOGAN,0.848,0.641,1.026,0.814
365,TICKET_ID_WAITING_4KOGAN,0.847,0.642,1.028,0.816
366,TICKET_ID_WAITING_4KOGAN,0.847,0.643,1.03,0.816
